Possum & Bandera,Huebner & Evers,Eckhart & Huebner,Medical Center Transit Center,Huebner & Fredericksburg,UTSA,Route,Direction
5:10,5:13,5:16,5:31,5:45,5:55,501,Northbound
6:10,6:13,6:16,6:31,6:50,7:01,501,Northbound
7:10,7:14,7:17,7:33,7:52,8:03,501,Northbound
8:10,8:14,8:17,8:33,8:49,9:00,501,Northbound
9:10,9:14,9:17,9:32,9:48,9:59,501,Northbound
10:10,10:13,10:16,10:32,10:48,11:00,501,Northbound
11:10,11:13,11:16,11:32,11:48,12:00,501,Northbound
12:10,12:13,12:16,12:32,12:48,13:00,501,Northbound
13:10,13:13,13:16,13:32,13:48,14:00,501,Northbound
14:10,14:13,14:16,14:32,14:48,15:00,501,Northbound
15:10,15:14,15:17,15:33,15:52,16:04,501,Northbound
16:10,16:14,16:17,16:33,16:52,17:04,501,Northbound
17:10,17:13,17:17,17:33,17:52,18:04,501,Northbound
18:10,18:13,18:17,18:33,18:52,19:04,501,Northbound
19:10,19:13,19:16,19:31,19:45,19:56,501,Northbound
20:10,20:13,20:16,20:31,20:44,20:54,501,Northbound
21:10,21:13,21:15,21:31,21:44,21:54,501,Northbound
22:10,22:13,22:15,22:31,22:44,22:54,501,Northbound
