UTSA,Huebner & Fredericksburg,Medical Center Transit Center,Eckhart & Huebner,Huebner & Evers,Possum & Bandera,Route,Direction
5:15,5:25,5:53,5:58,6:01,6:05,501,Southbound
6:15,6:25,6:43,6:51,6:54,7:01,501,Southbound
7:15,7:27,7:47,7:55,7:58,8:05,501,Southbound
8:15,8:27,8:49,8:56,8:59,9:06,501,Southbound
9:15,9:26,9:48,9:55,9:58,10:05,501,Southbound
10:15,10:26,10:48,10:55,10:58,11:05,501,Southbound
11:10,11:21,11:49,11:56,11:59,12:05,501,Southbound
12:10,12:21,12:49,12:56,12:59,1:05,501,Southbound
13:10,13:21,13:49,13:56,13:59,14:05,501,Southbound
14:10,14:21,14:49,14:56,14:59,15:05,501,Southbound
15:10,15:21,15:49,15:56,15:59,16:05,501,Southbound
16:10,16:21,16:49,16:56,16:59,17:05,501,Southbound
17:10,17:21,17:49,17:56,17:59,18:05,501,Southbound
18:10,18:21,18:49,18:56,18:59,19:05,501,Southbound
19:15,19:26,19:48,19:56,19:59,20:05,501,Southbound
20:15,20:26,20:50,20:57,21:00,21:05,501,Southbound
21:15,21:25,21:47,21:54,21:57,22:02,501,Southbound
22:15,22:25,22:37,,,,501,Southbound
