Medical Center Transit Center,Fredericksburg & USAA,Silicon & DeZavala,UTSA,Route,Direction
,,5:38,5:52,603,Northbound
6:05,6:23,6:39,6:53,603,Northbound
7:05,7:27,7:52,8:05,603,Northbound
8:05,8:27,8:50,9:06,603,Northbound
9:05,9:26,9:42,9:57,603,Northbound
10:05,10:26,10:42,10:57,603,Northbound
11:05,11:26,11:42,11:57,603,Northbound
12:05,12:27,12:46,13:03,603,Northbound
13:05,13:27,13:46,14:03,603,Northbound
14:05,14:27,14:46,15:02,603,Northbound
15:05,15:25,15:44,16:00,603,Northbound
16:05,16:27,16:55,17:12,603,Northbound
17:05,17:26,17:50,18:07,603,Northbound
18:05,18:26,18:44,18:59,603,Northbound
19:05,19:24,19:39,19:54,603,Northbound
20:05,20:24,20:39,20:54,603,Northbound
21:05,21:24,21:37,,603,Northbound
