UTSA,Silicon & DeZavala,Fredericksburg & USAA Blvd,Medical Center Transit Center,Route,Direction
5:16,5:25,5:38,5:55,603,Southbound
6:16,6:25,6:38,6:55,603,Southbound
7:16,7:26,7:44,8:03,603,Southbound
8:16,8:26,8:47,9:06,603,Southbound
9:16,9:25,9:42,10:00,603,Southbound
10:16,10:25,10:42,11:00,603,Southbound
11:16,11:25,11:42,12:00,603,Southbound
12:16,12:26,12:45,1:03,603,Southbound
13:16,13:26,13:45,14:03,603,Southbound
14:16,14:26,14:45,15:03,603,Southbound
15:16,15:26,15:46,16:04,603,Southbound
16:16,16:29,16:56,17:18,603,Southbound
17:16,17:29,17:53,18:12,603,Southbound
18:16,18:26,18:46,19:05,603,Southbound
19:16,19:25,19:41,19:57,603,Southbound
20:16,20:25,20:41,20:57,603,Southbound
21:16,21:25,21:41,21:57,603,Southbound
22:16,22:25,22:41,22:57,603,Southbound
