route 501:
bus_departure bus_arrival  travel_time (min)
        05:31       05:55               24.0
        06:31       07:01               30.0
        07:33       08:03               30.0
        08:33       09:00               27.0
        09:32       09:59               27.0
        10:32       11:00               28.0
        11:32       12:00               28.0
        12:32       13:00               28.0
        13:32       14:00               28.0
        14:32       15:00               28.0
        15:33       16:04               31.0
        16:33       17:04               31.0
        17:33       18:04               31.0
        18:33       19:04               31.0
        19:31       19:56               25.0
        20:31       20:54               23.0
        21:31       21:54               23.0
        22:31       22:54               23.0

route 603:
bus_departure bus_arrival  travel_time (min)
        06:05       06:53               48.0
        07:05       08:05               60.0
        08:05       09:06               61.0
        09:05       09:57               52.0
        10:05       10:57               52.0
        11:05       11:57               52.0
        12:05       13:03               58.0
        13:05       14:03               58.0
        14:05       15:02               57.0
        15:05       16:00               55.0
        16:05       17:12               67.0
        17:05       18:07               62.0
        18:05       18:59               54.0
        19:05       19:54               49.0
        20:05       20:54               49.0

route 501 offset by +15 minutes:
bus_departure bus_arrival  travel_time (min)
        05:46       06:10               24.0
        06:46       07:16               30.0
        07:48       08:18               30.0
        08:48       09:15               27.0
        09:47       10:14               27.0
        10:47       11:15               28.0
        11:47       12:15               28.0
        12:47       13:15               28.0
        13:47       14:15               28.0
        14:47       15:15               28.0
        15:48       16:19               31.0
        16:48       17:19               31.0
        17:48       18:19               31.0
        18:48       19:19               31.0
        19:46       20:11               25.0
        20:46       21:09               23.0
        21:46       22:09               23.0
        22:46       23:09               23.0

route 501 offset by +45 minutes:
bus_departure bus_arrival  travel_time (min)
        06:16       06:40               24.0
        07:16       07:46               30.0
        08:18       08:48               30.0
        09:18       09:45               27.0
        10:17       10:44               27.0
        11:17       11:45               28.0
        12:17       12:45               28.0
        13:17       13:45               28.0
        14:17       14:45               28.0
        15:17       15:45               28.0
        16:18       16:49               31.0
        17:18       17:49               31.0
        18:18       18:49               31.0
        19:18       19:49               31.0
        20:16       20:41               25.0
        21:16       21:39               23.0
        22:16       22:39               23.0
        23:16       23:39               23.0

route 603 offset by +15 minutes:
bus_departure bus_arrival  travel_time (min)
        06:20       07:08               48.0
        07:20       08:20               60.0
        08:20       09:21               61.0
        09:20       10:12               52.0
        10:20       11:12               52.0
        11:20       12:12               52.0
        12:20       13:18               58.0
        13:20       14:18               58.0
        14:20       15:17               57.0
        15:20       16:15               55.0
        16:20       17:27               67.0
        17:20       18:22               62.0
        18:20       19:14               54.0
        19:20       20:09               49.0
